System Informer 3.2.2103
Windows NT 10.0 (64-bit)
6:10:45 AM 20/07/2026

TID	CPU	Start address																																				Priority (symbolic)	Priority	CPU (user)	Cycles		Cycles delta	Context switches	Ideal processor	Name		Priority boost	Service	Stack usage		Start module															
10688	0.86	Overwatch.exe+0x265a4e8																																			Normal			9		0.65		1,268,017,918	691,909		404,994			0:9							204 kB | 1 MB (19.92%)																	
7284		vivoxsdk.dll!vxunity_unregister_tap+0x216460																																Normal			9				19,654				2			0:6							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume3\Program Files (x86)\Overwatch\_retail_\vivoxsdk.dll							
11092		Overwatch.exe+0x2678fa0																																			Normal			9				14,757				14			0:8							128 kB | 1 MB (12.50%)																	
864		Overwatch.exe+0x2678fa0																																			Normal			9				12,897				67			0:7							32 kB | 1 MB (3.12%)																	
11016		ntdll.dll!TppWorkerThread																																		Normal			9				12,298				3			0:14							8 kB | 1 MB (0.78%)	\Device\HarddiskVolume7\Windows\System32\ntdll.dll										
11160		Overwatch.exe+0x2678fa0																																			Normal			9				11,094				5			0:0							64 kB | 1 MB (6.25%)																	
10716		Overwatch_loader.dll+0x6e7f0																																		Normal			9				8,471				5			0:9							12 kB | 1 MB (1.17%)																	
11064		Overwatch.exe+0x2679008																																			Time critical		15				8,197				3			0:3							12 kB | 1 MB (1.17%)																	
11116		Overwatch.exe+0x2839b90																																			Above normal		9				7,294				38			0:14							128 kB | 1 MB (12.50%)																	
10712		Overwatch_loader.dll+0x357b40																																		Normal			9				3,112				18			0:9							8 kB | 1 MB (0.78%)																	
10924		Overwatch.exe+0x1bf2260																																			Normal			8				2,712				1			0:0							128 kB | 1 MB (12.50%)																	
10704		Overwatch_loader.dll+0x35d190																																		Normal			10				153				8			0:9							4 kB | 1 MB (0.39%)																	
10708		Overwatch_loader.dll+0x403300																																		Normal			10				117				8			0:9							4 kB | 1 MB (0.39%)																	
